Highest level completed,Number of people,Total income,Earnings (FT),Earnings (All),Months worked
Elementary,"12002","1166 ","2136 ","1813 ",1.7
Some high school,"18260","1205 ","2434 ","1840 ",1.8
High school graduate,"57880","1960 ","3179 ","2631 ",2.3
Some college,"35337","2204 ","3598 ","2789 ",2.6
Vocational certificate*,"24709","2400 ","3538 ","2945 ",2.6
Associate's degree,"18429","3001 ","4166 ","3562 ",3
Bachelor's degree,"38782","4259 ","5445 ","5034 ",3
Master's degree,"15132","5564 ","6731 ","6243 ",3.1
Professional degree,"3232","9501 ","11927 ","11071 ",3.3
Doctorate degree,"2486","7466 ","8434 ","8116 ",3.2
